frequency,db(v(out)/v(s)),ph(v(out))-ph(v(s))
1,-247.45,-1.57381
1.25893,-241.45,-1.57459
1.58489,-235.45,-1.57558
1.99526,-229.45,-1.57682
2.51189,-223.45,-1.57837
3.16228,-217.45,-1.58034
3.98107,-211.45,-1.58281
5.01187,-205.45,-1.58592
6.30957,-199.451,-1.58983
7.94328,-193.451,-1.59476
10,-187.452,-1.60096
12.5893,-181.453,-1.60877
15.8489,-175.455,-1.6186
19.9526,-169.458,-1.63097
25.1189,-163.463,-1.64653
31.6228,-157.471,-1.66611
39.8107,-151.483,-1.69073
50.1187,-145.502,-1.72166
63.0957,-139.533,-1.76047
79.4328,-133.581,-1.80909
100,-127.657,-1.86982
125.893,-121.775,-1.94534
158.489,-115.959,-2.03861
199.526,-110.241,-2.15265
251.189,-104.666,-2.29001
316.228,-99.2939,-2.45204
398.107,-94.1928,-2.63791
501.187,-89.4321,-2.84376
630.957,-85.0681,-3.06258
794.328,-81.1306,2.9982
1000,-77.6143,2.78225
1258.93,-74.4805,2.58162
1584.89,-71.6677,2.40243
1995.26,-69.1053,2.24759
2511.89,-66.7271,2.11721
3162.28,-64.4779,2.00949
3981.07,-62.3161,1.92169
5011.87,-60.2121,1.85076
6309.57,-58.1457,1.79381
7943.28,-56.1035,1.74825
10000,-54.0767,1.7119
12589.3,-52.0598,1.68294
15848.9,-50.0491,1.6599
19952.6,-48.0423,1.64157
25118.9,-46.038,1.62699
31622.8,-44.0353,1.61539
39810.7,-42.0335,1.60617
50118.7,-40.0324,1.59883
63095.7,-38.0316,1.59298
79432.8,-36.0309,1.58831
100000,-34.0304,1.58457
125893,-32.0297,1.58157
158489,-30.0288,1.57914
199526,-28.0275,1.57715
251189,-26.0255,1.5755
316228,-24.0224,1.5741
398107,-22.0175,1.57288
501187,-20.0097,1.57177
630957,-17.9974,1.57071
794328,-15.9778,1.56964
1e+06,-13.9468,1.56851
1.25893e+06,-11.8973,1.56724
1.58489e+06,-9.81822,1.56576
1.99526e+06,-7.69146,1.56397
2.51189e+06,-5.48669,1.56172
3.16228e+06,-3.15195,1.55879
3.98107e+06,-0.5935,1.55476
5.01187e+06,2.37236,1.54876
6.30957e+06,6.16394,1.53832
7.94328e+06,12.0791,1.51205
1e+07,33.0009,0.983748
1.25893e+07,13.5391,-1.52872
1.58489e+07,6.93052,-1.56369
1.99526e+07,2.9223,-1.57888
2.51189e+07,-0.142512,-1.59048
3.16228e+07,-2.75462,-1.6018
3.98107e+07,-5.12238,-1.61424
5.01187e+07,-7.35068,-1.62874
6.30957e+07,-9.49795,-1.64619
7.94328e+07,-11.5994,-1.66753
1e+08,-13.6781,-1.69386
1.25893e+08,-15.7513,-1.72643
1.58489e+08,-17.8346,-1.76672
1.99526e+08,-19.9447,-1.81635
2.51189e+08,-22.1021,-1.87695
3.16228e+08,-24.3336,-1.94992
3.98107e+08,-26.6729,-2.03598
5.01187e+08,-29.1594,-2.13454
6.30957e+08,-31.8325,-2.24316
7.94328e+08,-34.7222,-2.35741
1e+09,-37.8399,-2.47156
