Frequency,Vin (pk-pk),Vout (pk-pk),1->2 Phase,Gain,Gain dB,Phase (rad)
1.250E+7,0.244,2.88,-79,11.8032786885,21.4400532284,1.3788101091
1.200E+7,0.204,5.6,-87,27.4509803922,28.7711571916,1.5184364492
1.170E+7,0.124,11.2,-93,90.3225806452,39.1159267502,1.6231562044
1.175E+7,0.142,10,-91,70.4225352113,36.9542331123,1.5882496193
1.112E+7,0.396,8.2,107,20.7070707071,26.3223733292,-1.8675022996
1.100E+7,0.372,5.6,111,15.0537634409,23.5529017425,-1.9373154697
1.090E+7,0.356,4.6,109,12.9213483146,22.2261566742,-1.9024088847
1.080E+7,0.344,4.08,110,11.8604651163,21.4820344104,-1.9198621772
1.070E+7,0.34,3.6,107,10.5882352941,20.4964716745,-1.8675022996
1.060E+7,0.332,0.312,103,0.9397590361,-0.5396697937,-1.7976891296
1.050E+7,0.328,2.8,100,8.5365853659,18.6256837526,-1.745329252
1.040E+7,0.324,2.48,98,7.6543209877,17.6781334124,-1.710422667
1.030E+7,0.32,2.32,100,7.25,17.2067601314,-1.745329252
1.020E+7,0.312,2.2,102,7.0512820513,16.9653617361,-1.780235837
1.010E+7,0.312,2.04,103,6.5384615385,16.3095114681,-1.7976891296
1.000E+7,0.308,1.8,105,5.8441558442,15.3344357721,-1.8325957146
9.500E+6,0.304,1.38,96,4.5394736842,13.1401100558,-1.6755160819
9.000E+6,0.304,1.2,100,3.9473684211,11.9261532488,-1.745329252
