frequency,db(v(out)/v(in)),ph(v(out))-ph(v(in))
10000,-186.603,2.01776
12589.3,-175.804,1.86421
15848.9,-165.256,1.6975
19952.6,-154.952,1.51973
25118.9,-144.887,1.3307
31622.8,-135.068,1.1285
39810.7,-125.523,0.91092
50118.7,-116.302,0.677207
63095.7,-107.468,0.429755
79432.8,-99.0764,0.174956
100000,-91.1529,-0.0775049
125893,-83.6823,-0.31697
158489,-76.6097,-0.53461
199526,-69.8573,-0.725201
251189,-63.3442,-0.887272
316228,-56.9993,-1.02217
398107,-50.7663,-1.13282
501187,-44.6028,-1.22275
630957,-38.4767,-1.29549
794328,-32.3622,-1.35425
1e+06,-26.2349,-1.40178
1.25893e+06,-20.067,-1.44042
1.58489e+06,-13.821,-1.47206
1.99526e+06,-7.44043,-1.49816
2.51189e+06,-0.834077,-1.51971
3.16228e+06,6.15308,-1.53693
3.98107e+06,13.8013,-1.54825
5.01187e+06,22.6668,-1.54632
6.30957e+06,34.0447,-1.49693
7.94328e+06,51.7455,-1.1397
1e+07,68.9965,-2.85214
1.25893e+07,49.6084,-3.06974
1.58489e+07,38.4815,2.31833
1.99526e+07,26.8071,1.89591
2.51189e+07,17.3803,1.72739
3.16228e+07,9.38544,1.63332
3.98107e+07,2.19842,1.56501
5.01187e+07,-4.5168,1.50529
6.30957e+07,-10.9451,1.44603
7.94328e+07,-17.1908,1.38207
1e+08,-23.3117,1.30928
1.25893e+08,-29.3361,1.22373
1.58489e+08,-35.2716,1.12136
1.99526e+08,-41.1082,0.998008
2.51189e+08,-46.8189,0.849632
3.16228e+08,-52.3606,0.672966
3.98107e+08,-57.6758,0.466602
5.01187e+08,-62.7004,0.232379
6.30957e+08,-67.3793,-0.0234085
7.94328e+08,-71.6861,-0.289842
1e+09,-75.6355,-0.552752
